kappa_W,e_W,M_seed,v_kin,eps_kin,omega_m,sigma_8
2.732810184,0.6197655774,1801378.6159,11042.099532,5.6023227573,0.1542732338,0.7651390396
3.7957055482,0.7035720095,1605299.9097,10473.913288,3.0566712363,0.145158927,0.8134854625
2.8479478639,0.2467708581,1722190.2409,9616.3576985,5.734786328,0.1207867241,0.88498794
2.9578049727,0.2713980476,1960250.0728,10079.784191,0.6787188623,0.1521773364,0.8289958285
2.4816605207,0.9412748691,1289100.1219,8966.8267998,4.2858797285,0.131696606,0.8872608749
2.8126360585,0.5501108799,1821621.0803,2124.6610199,3.2034415208,0.1422553724,0.8976942785
3.7438628795,0.4303321495,1180587.442,5351.6337152,1.060269612,0.1280214392,0.7830385481
3.3366326225,0.8475671053,1192250.4809,1060.1674611,5.642220436,0.1218532543,0.8396757689
3.5827845264,0.9257389572,920052.54038,3133.0249732,1.793632147,0.1390969312,0.7459301452
2.9777112102,0.6497916407,1058991.5396,3969.2029023,3.8930926506,0.147104244,0.8243639684
3.5196297164,0.3421316392,666452.41449,1469.4286926,10.67913683,0.1416694739,0.7295478032
3.6770811108,0.4244071858,1952073.7076,4794.9764441,11.253618684,0.1480111142,0.7128136932
3.2056413508,0.2641107198,1532246.7349,4314.0287588,3.2466561284,0.13557425,0.7156752412
3.6217598602,0.9715198219,1568522.8756,6315.5453695,8.0724659104,0.1526004439,0.8655913356
3.27466917,0.8947132296,1868139.4997,9867.407404,9.2499269441,0.1500296427,0.7851000556
3.3886846359,0.7957997469,1322508.698,10703.42626,10.950790292,0.130909053,0.7952824976
2.7159649016,0.2816610086,931163.71709,2568.1688592,9.3917071759,0.1511263737,0.8472658426
2.0577764931,0.405130484,1667474.7505,2479.9497926,11.46768609,0.139231653,0.8774913769
3.4668093396,0.3600000462,1998443.6013,8410.8370553,8.809729483,0.1440318283,0.8170349352
2.7019190367,0.5453942075,700871.91795,7336.9088346,8.9794598021,0.1295272529,0.8746591221
2.4298674339,0.8314219927,1441366.4918,7391.416529,10.705944652,0.1403278213,0.8259664708
2.1348952864,0.7712075863,1904004.0589,8141.8984154,10.166745786,0.1241179159,0.8981813922
2.9407638062,0.3450499565,1879062.1499,2722.4912707,9.5567390431,0.1235570109,0.7031377028
3.7572204644,0.3132842537,1838060.2325,11658.462949,4.624960501,0.1320318184,0.7453170066
2.2091369971,0.2121479946,1918684.3025,5805.8068259,2.9265543124,0.1328719207,0.8494109335
2.3082166865,0.4897834264,1481670.1131,3851.1598123,7.6939524805,0.1372650658,0.7817109564
2.176476203,0.3866114077,766441.63999,3660.2917854,5.8084185803,0.144974799,0.7349397413
3.9760849002,0.4768395145,1177305.1989,9237.9274997,11.464427817,0.1514421699,0.7450748703
3.839284016,0.4542878754,826589.89255,1540.8683325,1.9250479786,0.1495585518,0.8441907904
3.8743957759,0.7425911879,1051773.1728,11354.354378,11.641701434,0.1234319132,0.8700962645
3.4439474572,0.3753470891,1373503.7159,3626.8286884,1.3956796499,0.1537289578,0.8731646132
2.3746017074,0.6381945364,1583464.2716,10662.307722,7.8522540617,0.1269418936,0.8585203799
2.1375942152,0.2862935414,1773295.5828,1274.5285782,2.3126989846,0.1442534913,0.7739031451
2.2394657534,0.6730429835,1636288.1985,8492.6653277,0.4879850038,0.1483682666,0.7373394532
3.428534752,0.5310980016,1810308.9101,9557.7006128,1.4946339528,0.1252058082,0.8052650631
3.1227289596,0.8189324884,986634.58831,9074.5419123,3.4497129606,0.1236934801,0.8173263935
2.7935501456,0.6798207907,711789.57365,2340.6729249,0.660773738,0.1395313656,0.7050637573
3.0898973381,0.5764128204,1988074.1161,6272.04812,4.8059969219,0.1382911035,0.8612201789
